	Numbero f particles	Process std	param_measurement_std	param_vel_std	param_res_g	mean_test_score
157	2500	0.02	0.015	0.1	0.2	-0.0002477753340140837
109	600	0.01	0.015	0.1	0.2	-0.0002471345660156688
269	2500	0.02	0.02	0.15	0.4	-0.0002462416912537999
121	600	0.02	0.015	0.1	0.2	-0.0002457808703942386
133	600	0.04	0.015	0.1	0.2	-0.0002453797375034331
305	10000	0.02	0.02	0.15	0.4	-0.0002448604876714689
281	2500	0.04	0.02	0.15	0.4	-0.0002446376806103757
293	10000	0.01	0.02	0.15	0.4	-0.0002446034962873117
257	2500	0.01	0.02	0.15	0.4	-0.00024427744150610337
319	10000	0.04	0.02	0.1	0.5	-0.00024360947715543462
307	10000	0.02	0.02	0.1	0.5	-0.00024358522644668808
295	10000	0.01	0.02	0.1	0.5	-0.00024355095522357603
283	2500	0.04	0.02	0.1	0.5	-0.0002431021033095667
317	10000	0.04	0.02	0.15	0.4	-0.00024309156723835413
271	2500	0.02	0.02	0.1	0.5	-0.00024277269338819507
221	600	0.01	0.02	0.15	0.4	-0.00024181393763449978
192	10000	0.02	0.015	0.05	0.2	-0.00023427203404966304
204	10000	0.04	0.015	0.05	0.2	-0.00022851332600224444
180	10000	0.01	0.015	0.05	0.2	-0.00022538453646876516
168	2500	0.04	0.015	0.05	0.2	-0.00022200107888793234
156	2500	0.02	0.015	0.05	0.2	-0.00022171288591407118
120	600	0.02	0.015	0.05	0.2	-0.00021650023267995726
280	2500	0.04	0.02	0.1	0.4	-0.0002153899407145508
244	600	0.04	0.02	0.1	0.4	-0.00021468978922758902
304	10000	0.02	0.02	0.1	0.4	-0.00021438379912487333
268	2500	0.02	0.02	0.1	0.4	-0.0002140510798892284
292	10000	0.01	0.02	0.1	0.4	-0.000213482027101632
316	10000	0.04	0.02	0.1	0.4	-0.00021290181336338734
144	2500	0.01	0.015	0.05	0.2	-0.0002127204790930134
256	2500	0.01	0.02	0.1	0.4	-0.0002125250384315796
220	600	0.01	0.02	0.1	0.4	-0.000208308254841284
232	600	0.02	0.02	0.1	0.4	-0.00020785050969492164
108	600	0.01	0.015	0.05	0.2	-0.00020256398943498965
132	600	0.04	0.015	0.05	0.2	-0.00019874000197889395
246	600	0.04	0.02	0.05	0.5	-0.00019680337600852757
222	600	0.01	0.02	0.05	0.5	-0.00019593691767610583
234	600	0.02	0.02	0.05	0.5	-0.00019418664918230714
258	2500	0.01	0.02	0.05	0.5	-0.0001937602019283513
282	2500	0.04	0.02	0.05	0.5	-0.0001936800755076094
318	10000	0.04	0.02	0.05	0.5	-0.00019271143851520324
270	2500	0.02	0.02	0.05	0.5	-0.0001911711307285885
306	10000	0.02	0.02	0.05	0.5	-0.00018936127220792802
294	10000	0.01	0.02	0.05	0.5	-0.00018868440676977457
230	600	0.02	0.02	0.15	0.2	-0.0001853586189525474
218	600	0.01	0.02	0.15	0.2	-0.00018447715919334034
266	2500	0.02	0.02	0.15	0.2	-0.00017848495064487244
314	10000	0.04	0.02	0.15	0.2	-0.00017812384609001313
243	600	0.04	0.02	0.05	0.4	-0.00017783074578079047
290	10000	0.01	0.02	0.15	0.2	-0.0001771383932617194
278	2500	0.04	0.02	0.15	0.2	-0.00017709118175770824
302	10000	0.02	0.02	0.15	0.2	-0.0001764394695676505
254	2500	0.01	0.02	0.15	0.2	-0.00017570109998588874
242	600	0.04	0.02	0.15	0.2	-0.00017383469937851516
229	600	0.02	0.02	0.1	0.2	-0.00017261794411347307
279	2500	0.04	0.02	0.05	0.4	-0.00017037912597690853
315	10000	0.04	0.02	0.05	0.4	-0.00017029168578591605
231	600	0.02	0.02	0.05	0.4	-0.00017019991285088676
291	10000	0.01	0.02	0.05	0.4	-0.00016797585673555747
267	2500	0.02	0.02	0.05	0.4	-0.00016770970234589034
303	10000	0.02	0.02	0.05	0.4	-0.00016728500668183356
255	2500	0.01	0.02	0.05	0.4	-0.00016658133256448478
219	600	0.01	0.02	0.05	0.4	-0.0001661480560272901
277	2500	0.04	0.02	0.1	0.2	-0.00016293075860187637
217	600	0.01	0.02	0.1	0.2	-0.00016290063307498404
241	600	0.04	0.02	0.1	0.2	-0.00016279137335966973
253	2500	0.01	0.02	0.1	0.2	-0.0001608196630340909
313	10000	0.04	0.02	0.1	0.2	-0.00015742954384722295
289	10000	0.01	0.02	0.1	0.2	-0.00015616021531873972
301	10000	0.02	0.02	0.1	0.2	-0.00015608756195807657
265	2500	0.02	0.02	0.1	0.2	-0.00015547439367507218
276	2500	0.04	0.02	0.05	0.2	-0.00015298048181029475
240	600	0.04	0.02	0.05	0.2	-0.00015278213783309838
228	600	0.02	0.02	0.05	0.2	-0.00015070528676552604
264	2500	0.02	0.02	0.05	0.2	-0.0001493356402099883
288	10000	0.01	0.02	0.05	0.2	-0.0001477928545597259
300	10000	0.02	0.02	0.05	0.2	-0.00014717437377430407
312	10000	0.04	0.02	0.05	0.2	-0.00014652712340648154
216	600	0.01	0.02	0.05	0.2	-0.00014626031001958655
252	2500	0.01	0.02	0.05	0.2	-0.00014201837373121126
