	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
1200	1500	0.2003651959947931	0.5372199008032638	0.2861912048181687	0.11162790443576853	0.1	-0.002455799354285947	1.0777006149291992
1191	1500	0.3546912607250953	0.2972809335819875	0.3852399629950752	0.29717667375715673	0.1	-0.0024560954960563116	1.0758819580078125
1432	2500	0.2342355624062435	0.1738279838643168	0.4311546756624505	0.19909758136519518	0.1	-0.002456277316798513	1.2030515670776367
2211	1000	0.32236037901225334	0.32949270011886345	0.29510942665770645	0.1171971381466912	0.1	-0.00245656871894288	0.8472819328308105
1986	2500	0.21014336603696585	0.6174053370758311	0.5713184699431126	0.9550501356619682	0.1	-0.002456957879215834	1.523653507232666
2514	1500	0.3037832356630491	0.48502952098743524	0.5237574762666882	0.3818296310985072	0.1	-0.0024570227752961633	1.0774836540222168
882	2500	0.42208908567659914	0.31868198580662277	0.3368204069754846	0.08545749686386239	0.1	-0.0024574747019595732	1.5281147956848145
489	2500	0.30082807896439434	0.44267913517342006	0.2771476068711591	0.09754773398087235	0.1	-0.0024579039983697927	1.5176424980163574
1395	1000	0.259989232247591	0.37492984240399085	0.3179916891627558	0.07427224644134722	0.1	-0.00245793650903132	0.8411602973937988
2233	1500	0.45590442155526556	0.3020950388050261	0.5258961540681515	0.09859976730058706	0.1	-0.002458006029810802	1.0774993896484375
980	1500	0.32043975938750835	0.2764690792392432	0.41466531147298924	0.7535365403670355	0.1	-0.002458076483658685	1.0638914108276367
26	2500	0.24638249208663224	0.4169196919553484	0.3002483153616932	0.522146729767321	0.1	-0.0024589183095245592	1.5209567546844482
2813	1500	0.410538298756313	0.38843434835029905	0.4394199000628159	0.4021573798597352	0.1	-0.0024591794148457542	1.0742151737213135
21	1500	0.44262898867543843	0.2717072117492822	0.4697457870743985	0.47829318678266	0.1	-0.002460094482660956	1.0771093368530273
1587	1500	0.2422145633720544	0.19153068038652576	0.47339538501687706	0.38391445492114973	0.1	-0.0024606830146798146	0.8700785636901855
1450	2500	0.36469630039107803	0.32656486306083954	0.28409353640586166	0.20961781870185447	0.1	-0.002460780618879292	1.5396151542663574
99	1500	0.4304143244637126	0.2933974187593752	0.431007811773098	0.16376539810905588	0.1	-0.0024609437035480507	1.069869041442871
608	1500	0.24878926003886154	0.5874541632593381	0.44683469466000136	0.9695128984882623	0.1	-0.0024613731457727144	1.0678081512451172
2389	1500	0.27619844671296806	0.5852192969299764	0.43817037956448146	0.13891768711802144	0.1	-0.0024614948455412696	1.068575382232666
287	2500	0.25365959852433784	0.5776988574056845	0.2811545067990487	0.09567927670606491	0.1	-0.0024618467269606047	1.531787395477295
693	2500	0.42489598713966376	0.6030000132749712	0.49624138437874654	0.6472015356640585	0.1	-0.0024620642533594406	1.5484137535095215
701	2500	0.33621759552860864	0.5469623748038969	0.4652855561584478	0.6879915321534503	0.1	-0.002462367778999248	1.5371947288513184
355	1500	0.20127830272302025	0.3779873495271317	0.3099408919386961	0.2473775413767495	0.1	-0.002463165617282509	1.076162576675415
673	1500	0.33087134257808615	0.33053252819287127	0.47556934414938856	0.730889262657078	0.1	-0.0024634449922096907	1.0698840618133545
2180	1000	0.20518356305007787	0.5924810438615487	0.4139277292982736	0.7266451892166736	0.1	-0.0024635273674974297	0.8608028888702393
2376	2500	0.36809756543381605	0.5490719656386346	0.32565423558353845	0.35840265017981676	0.1	-0.00246394293014898	1.5269534587860107
2369	2500	0.34878590059139913	0.6562540903474245	0.35859920815305524	0.8186402204571829	0.1	-0.002463993085204555	1.528470516204834
35	1500	0.2415431370544324	0.5777471828394883	0.37566257818645477	0.6842127214121759	0.1	-0.0024650660405394287	1.065711259841919
2621	1500	0.37834828815539	0.5427703663239103	0.40538161948930806	0.6094621758664694	0.1	-0.0024650722736348275	1.0686330795288086
1733	1500	0.3691072574112406	0.3500559070016625	0.3305571568430229	0.1279402044546285	0.1	-0.0024652446970586596	1.0753579139709473
1574	1500	0.37084526967731446	0.34501554476078633	0.42761284874755706	0.49106221726617183	0.1	-0.002465581071491151	1.0812630653381348
2865	600	0.30899210656998016	0.24343046458520978	0.3523727124628924	0.5277818948496376	0.1	-0.0024657545369412824	0.6581768989562988
2809	1000	0.29561201852488134	0.5723788219841183	0.40003990700028874	0.5062481207955298	0.1	-0.002466327636680851	0.842714786529541
402	1500	0.42061165846103576	0.1695096087286512	0.4205124670377064	0.8733728722904814	0.1	-0.0024667703623174383	1.0816445350646973
1930	1500	0.42389726989700316	0.17389391876671112	0.4991746882778276	0.9721557930167777	0.1	-0.0024670815674382902	1.078934669494629
1673	2500	0.38611139807863637	0.5895570175964118	0.36465338851022855	0.42181227447048053	0.1	-0.0024671663817556365	1.5074756145477295
