	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
2482	1000	0.10106291667119732	0.4868617126832341	1.1501555888683244	1.161932738345378	2.3447221195041905	0.1	-0.002364081556604284	0.7482829093933105
2353	600	0.28252371539922794	0.29601420604111184	2.507363642309435	0.9194807320526713	0.84904299152186	0.1	-0.0023642811841209236	0.7650189399719238
195	1500	0.2510849924618679	0.3533563443186002	2.9360541082559535	2.507176969173019	1.535658472933029	0.1	-0.002364282507128534	1.0698590278625488
2559	1000	0.25787651180982696	0.31654223180471164	2.4268745805312086	2.579276432776226	1.3414572474647346	0.1	-0.0023653452307135876	0.973099946975708
1139	1000	0.30805977490224723	0.33519080411544877	1.763152064226475	2.9061231631612103	0.783226302394192	0.1	-0.002366069886109935	0.9708371162414551
831	1500	0.2054489451902618	0.2950401859599017	2.6792550675194984	2.1432184411511868	1.645908857939692	0.1	-0.0023673766248944027	1.1299474239349365
2553	600	0.3739999372122883	0.3389512128570996	2.2225474810840966	2.658312412700522	1.1796129033321416	0.1	-0.002367708157538953	0.7660250663757324
1958	1000	0.18724510115626627	0.39796215688330694	2.5142094619162383	1.3538719245250777	0.9398745757378044	0.1	-0.0023681673641661174	0.7979528903961182
701	2500	0.287352368275671	0.28109865830606	1.2042896180031648	1.546651237678763	1.7744737509004176	0.1	-0.0023682635197938393	1.7399144172668457
668	600	0.26142322455474276	0.26306429343865356	1.8806815702484725	2.8726305551531115	1.5290127664560658	0.1	-0.0023694085218325086	0.7646894454956055
2063	1500	0.2813248113405975	0.2956661686165801	2.2966598010835293	1.213033419064451	0.9400826818735831	0.1	-0.0023694455068696053	1.2261450290679932
1311	600	0.2731348352443389	0.39929097858313556	1.6929550132933757	2.56960550522042	2.2608885558326177	0.1	-0.0023695426685905177	0.6917476654052734
2220	1500	0.26121670240935	0.2747169543762047	2.724017478833165	2.0077626727407916	1.667017834390856	0.1	-0.0023695802420889813	1.2275526523590088
2345	1000	0.23367079819515182	0.4867361494569587	0.5411882152232863	1.976581237489717	1.3258282418772223	0.1	-0.002369663771854567	0.7981641292572021
755	1000	0.17651037935560154	0.3503359122466114	1.3221561499523544	2.1866068363916047	0.9147191363734428	0.1	-0.002369881569276925	0.8019454479217529
507	600	0.2893791315876274	0.31436403997471907	1.4436212115314775	2.2457562328261487	0.9965335725092276	0.1	-0.002370660968240848	0.7624928951263428
327	2500	0.33698621981121907	0.4524628881459118	0.3171626403484603	1.9715073794633284	1.4845185160375332	0.1	-0.0023713235150726844	1.3768455982208252
2025	1000	0.3672159313848402	0.4272000949811929	1.6690940552835511	2.7845154518706776	1.3023490889583924	0.1	-0.002371356782810539	0.9722037315368652
2330	1000	0.2844744657739793	0.44998645015931793	0.7537504726304709	1.379284092947463	2.2906491616212596	0.1	-0.002372059242816948	0.8109161853790283
1215	1000	0.3605125919141755	0.370058387309758	1.7173485577144254	1.730499994726725	0.8570131854121861	0.1	-0.0023724383323542684	0.9665238857269287
2033	2500	0.30134956916599553	0.3822895323880487	2.4510837731809274	0.8301041310224944	1.5285715002612141	0.1	-0.002372995124808064	1.7443950176239014
188	1500	0.2900471114158326	0.3122727350044271	1.1978185546234617	1.02400430383678	0.8142770114680646	0.1	-0.0023734753701971315	1.2260396480560303
703	1000	0.18045907325810184	0.2605850111921989	2.8617880555841	1.6235862764188733	1.7417323345341438	0.1	-0.002374181996982966	0.9347724914550781
160	2500	0.33785361923750945	0.4169636189718515	2.761865390707418	0.9137065483513199	1.8353849253897898	0.1	-0.002374875416402954	1.7445285320281982
1909	1000	0.29889105157388685	0.38187844298204326	1.8604158052064146	2.178128705110786	0.8905021654205643	0.1	-0.0023749813194117223	0.9000277519226074
83	1500	0.3246785822594621	0.47415515879642434	1.7181820850515546	1.828896357445925	0.7980874672051776	0.1	-0.0023767258232312155	0.9794859886169434
1732	600	0.1640392522602059	0.2637640956458625	0.6264915528584849	2.124268469711817	1.1288685601556963	0.1	-0.002377464970003983	0.6719357967376709
866	2500	0.36624048995309855	0.3104305882405957	2.838753935972565	1.0241643649560337	1.496184781094045	0.1	-0.0023782457890959806	1.7388334274291992
788	1500	0.26448044121782566	0.36133310466912394	0.9915007680339428	1.3165961485429363	2.233562003092566	0.1	-0.0023787789434603092	1.1476640701293945
2041	2500	0.20150825541038786	0.3804445926458709	2.9228644933052568	1.1306590575529971	1.568114345506816	0.1	-0.00238027293967858	1.3834848403930664
1379	1000	0.12544506850668963	0.28208176828059256	2.693696283865686	1.7993375257383362	1.2018809679650262	0.1	-0.0023806761684916104	0.805525541305542
1415	1000	0.3500380014142527	0.4137711867053815	2.2300726779901745	1.3953083772764274	1.3039387660149733	0.1	-0.002380931243632262	0.9792180061340332
2574	2500	0.2777720975628673	0.29340466835783	2.6197981411075957	2.925505594208916	1.8859049244582387	0.1	-0.002381629613174406	1.7420787811279297
2464	2500	0.3602180241665217	0.27466291436244855	0.30962940914105574	1.5039830037089577	1.6539422307348257	0.1	-0.0023817344334922785	1.7434353828430176
1632	1500	0.20675086349484062	0.3105389256295235	0.412786378547914	0.7377458556350387	1.3664082531901136	0.1	-0.002381883144714084	1.0077319145202637
615	1000	0.33400589160282235	0.38717878269467754	1.8704160582552243	0.8486548475756135	1.6638673328113147	0.1	-0.002382308269061436	0.9748313426971436
1443	1500	0.1728357312797319	0.3421293485388539	2.6508777138868957	2.5965731329860344	0.931749802136831	0.1	-0.002383471622817988	0.9827492237091064
178	1500	0.35556217078206065	0.2752115552421391	1.3243477493650162	0.9325788522151902	1.088995758509793	0.1	-0.0023837034809600357	1.220290184020996
1380	1000	0.2266457581325559	0.4086028883418624	1.8436344724472078	1.8098244748913617	2.0227467833177575	0.1	-0.002383755236871346	0.811138391494751
563	1500	0.36256028329357126	0.28610806139938577	2.823474399381463	2.785292852492031	1.2814736587172253	0.1	-0.0023844826758928953	1.2272100448608398
53	2500	0.34345604556321463	0.3025769898767758	1.071252736288733	1.562367343221288	2.2444434764221652	0.1	-0.0023845465269996414	1.746436595916748
2187	1500	0.29620631045197543	0.28626341400974487	1.2201628425591071	1.3796830905080186	0.916178392119319	0.1	-0.0023849745241626783	1.235548734664917
246	1000	0.19419334456837972	0.4423113942895114	0.4669431470683525	0.732354037710095	1.8009068136862572	0.1	-0.0023849996990685024	0.7977406978607178
210	1500	0.34747740745435246	0.32714963689895227	0.4270125286663337	0.9404260163072252	1.6463480950469447	0.1	-0.0023851878275421593	1.222520112991333
